timestamp,open,high,low,close,volume
2025-08-28 19:58:00,1.3500,1.3500,1.3500,1.3500,1000
2025-08-28 19:32:00,1.3400,1.3400,1.3400,1.3400,5
2025-08-28 19:09:00,1.3300,1.3300,1.3300,1.3300,500
2025-08-28 18:56:00,1.3200,1.3200,1.3200,1.3200,10
2025-08-28 18:52:00,1.3200,1.3200,1.3200,1.3200,91
2025-08-28 18:49:00,1.3300,1.3300,1.3300,1.3300,5
2025-08-28 18:34:00,1.3202,1.3202,1.3202,1.3202,200
2025-08-28 18:00:00,1.3297,1.3297,1.3297,1.3297,2
2025-08-28 17:57:00,1.3300,1.3300,1.3300,1.3300,10
2025-08-28 17:53:00,1.3300,1.3300,1.3300,1.3300,100
2025-08-28 17:49:00,1.3300,1.3300,1.3300,1.3300,5
2025-08-28 17:48:00,1.3298,1.3298,1.3298,1.3298,10
2025-08-28 17:35:00,1.3200,1.3200,1.3200,1.3200,15
2025-08-28 17:31:00,1.3300,1.3300,1.3300,1.3300,1
2025-08-28 17:29:00,1.3100,1.3200,1.3100,1.3200,21
2025-08-28 17:28:00,1.3200,1.3200,1.3200,1.3200,984
2025-08-28 17:16:00,1.3203,1.3203,1.3203,1.3203,300
2025-08-28 17:03:00,1.3200,1.3200,1.3200,1.3200,20
2025-08-28 16:51:00,1.3200,1.3200,1.3200,1.3200,34
2025-08-28 16:38:00,1.3200,1.3200,1.3200,1.3200,5
2025-08-28 16:20:00,1.3300,1.3300,1.3300,1.3300,1841
2025-08-28 16:17:00,1.3300,1.3300,1.3300,1.3300,94
2025-08-28 16:11:00,1.3300,1.3300,1.3300,1.3300,1387
2025-08-28 16:10:00,1.3300,1.3300,1.3300,1.3300,1
2025-08-28 16:09:00,1.3201,1.3201,1.3201,1.3201,1991
2025-08-28 16:08:00,1.3300,1.3300,1.3300,1.3300,9
2025-08-28 16:07:00,1.3300,1.3400,1.3300,1.3400,7
2025-08-28 16:04:00,1.3300,1.3300,1.3300,1.3300,12975
2025-08-28 16:02:00,1.3300,1.3300,1.3300,1.3300,2034
2025-08-28 16:01:00,1.3300,1.3300,1.3300,1.3300,7285
