timestamp,open,high,low,close,volume
2025-08-27 19:59:00,345.6000,345.6400,345.5000,345.5699,12135
2025-08-27 19:58:00,345.5000,345.6600,345.5000,345.5600,9395
2025-08-27 19:57:00,345.5800,345.5800,345.4800,345.5100,3512
2025-08-27 19:56:00,345.4800,345.6200,345.4400,345.5400,11094
2025-08-27 19:55:00,345.4050,345.4900,345.3500,345.4300,3121
2025-08-27 19:54:00,345.5500,345.5500,345.3500,345.3500,5963
2025-08-27 19:53:00,345.6000,345.6400,345.4300,345.5800,8021
2025-08-27 19:52:00,345.5500,345.6700,345.5000,345.5500,7797
2025-08-27 19:51:00,345.6300,345.7400,345.5500,345.5500,3902
2025-08-27 19:50:00,345.7000,345.8000,345.6100,345.6864,5601
2025-08-27 19:49:00,345.8400,345.8500,345.6700,345.7000,2552
2025-08-27 19:48:00,345.8800,345.9500,345.7104,345.8700,3313
2025-08-27 19:47:00,345.9000,345.9600,345.8200,345.8500,2517
2025-08-27 19:46:00,345.9300,346.0000,345.8666,345.9000,764
2025-08-27 19:45:00,345.9700,346.0000,345.9100,345.9550,601
2025-08-27 19:44:00,346.0000,346.0200,345.9000,345.9600,4216
2025-08-27 19:43:00,346.0100,346.0900,346.0000,346.0100,1791
2025-08-27 19:42:00,346.0000,346.0900,345.9000,346.0100,3095
2025-08-27 19:41:00,346.0000,346.1100,345.8900,346.0994,2406
2025-08-27 19:40:00,345.8000,346.1400,345.8000,345.9300,4700
2025-08-27 19:39:00,346.0000,346.1500,345.8000,345.9750,3632
2025-08-27 19:38:00,346.0700,346.1500,345.8800,345.9994,4785
2025-08-27 19:37:00,346.1491,346.2900,346.0000,346.1500,1439
2025-08-27 19:36:00,346.2100,346.3300,346.0000,346.1200,2206
2025-08-27 19:35:00,346.1300,346.3500,346.0300,346.2200,3799
2025-08-27 19:34:00,345.9300,346.1000,345.8100,346.0700,5626
2025-08-27 19:33:00,345.9092,346.0000,345.8300,345.9495,6961
2025-08-27 19:32:00,345.8200,345.9200,345.8200,345.8500,1386
2025-08-27 19:31:00,345.9000,345.9000,345.8000,345.8300,1985
2025-08-27 19:30:00,345.8200,345.9500,345.7700,345.8999,2306
2025-08-27 19:29:00,345.7800,345.9100,345.7500,345.8519,1111
2025-08-27 19:28:00,345.7050,345.9000,345.7000,345.8900,2544
2025-08-27 19:27:00,345.6400,345.7500,345.6400,345.7500,2956
2025-08-27 19:26:00,345.7000,345.7500,345.6400,345.6600,3523
2025-08-27 19:25:00,345.7900,345.8050,345.6500,345.7050,2495
2025-08-27 19:24:00,345.8500,345.8500,345.7600,345.7900,1819
2025-08-27 19:23:00,345.8200,345.8500,345.7500,345.8500,1301
2025-08-27 19:22:00,345.8500,345.8999,345.7600,345.8000,1383
2025-08-27 19:21:00,345.8200,345.9400,345.8200,345.8400,2065
2025-08-27 19:20:00,345.9000,345.9500,345.8100,345.9400,2458
2025-08-27 19:19:00,345.7500,345.9500,345.7200,345.9000,3203
2025-08-27 19:18:00,345.6099,345.7900,345.6000,345.7200,6899
2025-08-27 19:17:00,345.7000,345.7300,345.6000,345.6010,5166
2025-08-27 19:16:00,345.8000,345.8000,345.6000,345.7600,5732
2025-08-27 19:15:00,345.8600,345.9500,345.7800,345.7900,2398
2025-08-27 19:14:00,346.0350,346.0350,345.8000,345.8220,2955
2025-08-27 19:13:00,345.9200,346.1200,345.9000,346.0200,14956
2025-08-27 19:12:00,345.8863,345.9500,345.8600,345.9400,2484
